Campaign ID,Campaign,IO
50980644,Accessories_2007,out
638581648,Ad_creation_test_campaign_housley,out
59780844,Adchemy_BedBath-bath-1hg4b7_1,out
59780964,Adchemy_BedBath-phoiac_1,out
59781204,Adchemy_BedBath-phoiac_2,out
59781084,Adchemy_BedBath-phoiac_3,out
59781444,Adchemy_BedBath-phoiac_4,out
59781324,Adchemy_BedBath-phoiac_5,out
61098924,Adchemy_BedBath-phoiac_6,out
623640892,API_Test_Campaign,in
628775162,API_Test_Campaign_2,in
721429091,API_Test_Campaign_3,in
607915153,Area Rugs Display,out
383979444,Attribute Test,out
17766504,B- Electronics,out
17766564,B- Electronics (price),out
17766624,B- Electronics 2,out
17766684,B- Electronics 2 (price),out
17766744,B- Electronics 3,out
17766804,B- Electronics 3 (price),out
17766864,B- Jewelry & Watches,out
17766924,B- Jewelry & Watches (price),out
17772624,B- Sports & Toys,out
17772564,B- Sports & Toys (price),out
50964204,Baby_2009,out
671124408,Batch Campaign #0a4478ad-fbb8-4061-91b3-e7c21cccbd0c,out
671124405,Batch Campaign #18715049-27ff-47b3-9eba-094416252137,out
51037524,Bedding_2007,out
197432724,Bedding_Companion,out
197440164,Bedding_Companion Ads,out
52693164,Bedding_Content,out
196225404,Bedding_Content_2014,out
212486004,Bedding_Content_Image_2014,out
53241564,Bedding_Mobile,out
247728204,Bitcoin_2014,out
53984364,BMMG Titles,out
53020524,Books and Media,out
624092101,Brand_2007 #2,out
31497564,Brand_Club O_2008,out
31099044,Brand_Commercials_2008,out
51844164,Brand_Content,out
52135764,Brand_Mobile,out
22662024,Brand_Modifiers_2007,out
22661844,Brand_Standard_0,out
41438064,Brand_Standard_Coupons,out
22661934,Brand_Test1_2007,out
42612474,Brand_WWP_2009,out
17807004,C- Bulk Apparel & Access.,out
17807064,C- Bulk Apparel & Access. (price),out
17807124,C- Bulk Electronics (price),out
17807184,C- Bulk Home & Garden,out
17807244,C- Bulk Home & Garden (price),out
17807304,C- Clothing,out
17807364,C- Clothing (price),out
17807424,C- Electronics,out
17807484,C- Electronics (price),out
18064404,C- Electronics 2,out
18064344,C- Electronics 2 (price),out
18111804,C- Electronics 3,out
18111744,C- Electronics 3 (price),out
17807544,C- Gifts & Flowers (price),out
17807604,C- Health & Wellness,out
17807664,C- Health & Wellness (price),out
17807724,C- Home & Garden (price),out
17807904,C- Office Supplies (price),out
17807964,C- Sports & Toys,out
17808024,C- Sports & Toys (price),out
17808084,C- Worldstock Handcrafted (price),out
95096364,Category Test_Area Rugs,out
50965044,Crafts_2008,out
215170404,Dynamic KID Placeholder,out
126101844,Dyson Co-op,out
17588964,Electronics,out
17588904,Electronics (price),out
17589084,Electronics 2,out
17589024,Electronics 2 (price),out
17589204,Electronics 3,out
17589144,Electronics 3 (price),out
17699064,Entertainment -Books,out
17699244,Entertainment -Magazines,out
17699004,Entertainment -Movies,out
17699184,Entertainment -Music,out
17699124,Entertainment -PC & Video Games,out
17699304,Entertainment -Software,out
694390256,Experiment Band Coupon,out
683845107,Experiment Furniture Zip Codes,out
685177630,Experiment Home Decor Bid Modifiers,out
685538805,Experiment Home Decor Bid Modifiers 2,out
848006527,Experiment_Autokeywords_Furniture,out
721820299,Experiment_Equal Split,out
723089275,Experiment_Equal Split test,out
741983482,Experiment_Furniture_Audiences,out
742158440,Experiment_Furniture_Audiences Jan 24,out
856750525,Experiment_Furniture_Hackathon,out
858100280,Experiment_Furniture_Hackathon 2,out
857661325,Experiment_Furniture_Hackathon 3,in
846772262,Experiment_Home Decor_coop,out
847001275,Experiment_Home Decor_coop #2,out
847691492,Experiment_Home Decor_coop #3,out
848539391,Experiment_Home Decor_coop #4,in
755803888,Experiment_Home Decor_Feb 14,out
864394783,Experiment_Jewelry_Smart Bidding,out
869396639,Experiment_Jewelry_Smart Bidding 2,out
869921474,Experiment_Jewelry_Smart Bidding 3,out
869439004,Experiment_Jewelry_Smart Bidding 4,in
741432188,Experiment-Bedding Geo,out
741952762,Experiment-Bedding Geo #2,out
742365285,Experiment-Bedding Geo #3,out
742148558,Experiment-Bedding Geo Jan 24,in
674821573,Experiment-Brand Sitelink Test,out
668949577,Experiment-CO Furniture 9-22,out
685378014,Experiment-Furniture Zip Codes 2,out
295861884,Farmers Market (test),out
306601524,Farmers Market Test,out
50916084,Fashion_2007,out
276420804,FML Relaunch,out
403433484,FR 04/06,out
403465644,FR 04/06/16,out
396321924,FR 3/24/16,out
669024125,Furniture CO Test 2,out
396292764,Furniture Restructure 03/24,out
403391484,Furniture Restructure 04/06,out
687979631,Furniture_2007_Draft,out
394512684,Furniture_2016,out
196753164,Furniture_Companion,out
52811724,Furniture_Content,out
202743204,Furniture_Content_2014,out
212486124,Furniture_Content_Image_2014,out
234662724,Furniture_Dynamic_Content,out
58430004,Furniture_Mobile,out
151644324,Furniture_RLSA,out
51013644,Garden_2007,out
51007644,General_2007,out
803851815,Generic_AutoKeywords_Furniture,out
753222858,Generic_Draft_Home Decor 2-9,out
736428176,Generic_Experiment_Home Decor,out
736719021,Generic_Experiment_Home Decor,out
736889988,Generic_Experiment_Home Decor #4,out
790325026,Generic_Experiment_Home Decor 03/28,out
755891459,Generic_Experiment_Home Decor 2-14,out
791264835,Generic_Experiment_Home Decor Mar 28,out
736731834,Generic_Experiment_Home Decor_#3,out
51011004,Generic_Standard_Bath,in
671823483,Generic_Standard_Bedding,in
50914284,Generic_Standard_Clothing,in
168686004,Generic_Standard_Electronics,in
50899044,Generic_Standard_Furniture,in
627280282,Generic_Standard_Garden,in
50915244,Generic_Standard_Handbags,in
51039444,Generic_Standard_Home Decor,in
50870004,Generic_Standard_Housewares,in
416109084,Generic_Standard_Jewelry,in
50927484,Generic_Standard_Luggage,in
50964924,Generic_Standard_Pets,in
617081218,Generic_Standard_Sunglasses,in
50940924,Gifts_2007,out
22860024,Gold Redemption_2008,out
58519764,Google_Back to School,out
363924564,GSP EMAIL,out
415454844,Head Terms,in
50980884,Hobbies & Toys_2007,out
252935484,Holiday_KCT_Display,out
252293604,Holiday_KCT_Display do not use,out
196753524,Home Dí©cor_Companion,out
52432044,Home Dí©cor_Content,out
51899124,Home Dí©cor_Local,out
58520484,Home Dí©cor_Mobile,out
614637005,Home Improvement Restructure,out
416099364,jewelry restructure,out
415694604,Jewelry Restructure take one,out
50882724,Jewelry_2007,out
410203524,Jewelry_2016,out
119102844,Jewelry_Content,out
606265806,June Bedding Restructure,out
117713124,Keyword CPC Test_2013,out
52593204,Keywordless Campaign,out
605285908,Kitchen 2016,out
51008964,Kitchen_2007,out
611386520,Kitchen_2016 Restructure,out
208506804,Memorial Day 2014,out
50981484,Office_2007,out
50980764,Promotions_2007,out
53547924,Remarketing,out
396982644,Restructure 03/25,out
396962844,Restructure 3/25,out
58553244,Search Companion Ads,out
50916444,Shoes_2007,out
231080004,Social - Baby Registry,out
618601567,Sofa Keyword Additions,out
51755244,Standard_Bedding Mem Foam,out
702516709,Standard_BMMG,out
390442884,Standard_Buying Guide,out
647710746,Standard_Crafts,in
244276524,Standard_Emergency Prepardness,in
50981364,Standard_Health & Beauty,in
611423720,Standard_Kitchen,out
640410366,Standard_Partners,in
249568524,Standard_Sports & Toys,out
51013884,Standard_Watches,out
683341127,Standard_Worldstock,out
347419764,Sunglasses_tools,out
59411484,Test -phoiac_1,out
51012084,Tools & Automotive_2007,out
52430604,Top_Keywords|Rank,out
339279924,Training,out
136085004,US Hispanic - Bedding EN,out
135973884,US Hispanic - Bedding SP,out
136091004,US Hispanic - Furniture EN,out
135984564,US Hispanic - Furniture SP,out
136091244,US Hispanic - Home Dí©cor EN,out
135984924,US Hispanic - Home Dí©cor SP,out
136091484,US Hispanic - Jewelry EN,out
135083244,US Hispanic - Jewelry SP,out
53401764,Watches - XML,out
119105964,Watches_Content,out